股票代码,预测收益率前25%,预测收益率不是前25%,实际收益率,,
index,top_ratio_code,tail_ratio_code,profit,错分数：185 +8 = 193,
2145,0,0.23,-0.176303667,,
300222,0,0.23,-0.069334314,,
600230,1,0.24,-0.04175083,,
2275,0.1,0.24,-0.087994655,,
300036,0.08,0.24,-0.005139747,,
2803,0,0.24,0.106043531,,
600266,0,0.24,-0.180931282,,
601388,0,0.24,-0.215325082,,
2302,0,0.25,-0.194919192,,
300016,0,0.26,-0.053872992,,
300625,0,0.26,-0.191227277,,
601001,0,0.26,-0.093806144,,
600621,0.86,0.27,0.13123447,,
603239,0.27,0.27,-0.236803489,,
636,0,0.27,0.3433876,,
860,0,0.27,0.151492524,,
300097,0,0.28,-0.175611199,,
802,0,0.29,-0.237263229,,
823,0,0.29,-0.295168267,,
888,0,0.29,-0.123348715,,
2217,0,0.29,-0.043915367,,
2664,0,0.29,-0.089975727,,
300206,0,0.29,-0.17643721,,
600688,0,0.29,-0.051344289,,
2063,0,0.3,0.001475005,,
300070,0,0.3,-0.066648925,,
300181,0,0.3,0.000604681,,
600219,0,0.3,-0.125031754,,
300436,0,0.31,-0.227374106,,
300637,0,0.31,-0.046032685,,
600351,0,0.31,-0.055939865,,
600740,0,0.31,0.290348033,,
2340,0,0.32,-0.046414047,,
2413,0,0.32,-0.16182825,,
300053,0,0.32,0.015348345,,
600114,0,0.32,-0.09687242,,
761,0,0.33,-0.189673591,,
300227,0,0.33,-0.128295805,,
603038,0.09,0.34,-0.195108691,,
100,0,0.34,-0.119948261,,
2251,0,0.34,0.192480841,,
2589,0,0.34,-0.033267078,,
300098,0,0.34,-0.006062807,,
300355,0,0.34,-0.088434252,,
600742,0,0.34,-0.201043178,,
2836,0.17,0.35,-0.373511213,,
300253,0,0.35,0.348947138,,
300500,0,0.35,-0.091694657,,
601018,0,0.35,-0.119915798,,
615,0,0.36,-0.330203271,,
600179,0,0.36,0.072540207,,
600648,0,0.36,0.020352182,,
2821,0.07,0.37,0.113477352,,
300188,0.01,0.37,0.407927545,,
785,0,0.37,-0.103967154,,
2308,0,0.37,-0.24695212,,
2383,0.04,0.38,0.214029021,,
300065,0,0.38,-0.205398622,,
300315,0,0.38,-0.168696115,,
2085,0,0.39,-0.263345704,,
300223,0,0.39,0.029451719,,
300438,0,0.39,-0.171096738,,
590,0,0.4,-0.187140905,,
2221,0,0.4,0.026597429,,
2268,0,0.4,0.42601889,,
300311,0,0.4,-0.140460054,,
600513,0,0.4,-0.17183361,,
600522,0,0.4,-0.048132143,,
600717,0,0.4,-0.169204129,,
965,0,0.41,-0.20375569,,
300259,0,0.41,-0.073282281,,
2058,0,0.42,-0.176796409,,
300180,0,0.42,-0.05300251,,
600368,0,0.42,-0.131122755,,
600639,0,0.42,-0.127624178,,
600970,0,0.42,0.065860316,,
601169,0,0.42,-0.057379592,,
601633,0,0.42,-0.059544378,,
2055,0,0.43,-0.18047023,,
2258,0,0.43,0.518984776,,
300054,0,0.43,0.075802661,,
300585,0,0.43,-0.125301344,,
600162,0,0.43,-0.119618226,,
600761,0,0.43,-0.047972428,,
601098,0,0.43,-0.149789718,,
975,0,0.44,0.095448461,,
2759,0,0.44,-0.516266147,,
300488,0,0.44,-0.053311947,,
600661,0,0.44,0.284514584,,
603011,0,0.44,-0.177326924,,
603689,0,0.44,-0.197682838,,
300418,0.12,0.45,-0.046841209,,
967,0,0.45,-0.146882132,,
2392,0,0.45,-0.278403056,,
2002,0,0.46,-0.148238898,,
2662,0,0.46,-0.129159918,,
300263,0,0.46,-0.250540955,,
600297,0,0.46,-0.103420034,,
300588,0.02,0.47,-0.210382665,,
300030,0,0.47,-0.248360403,,
600429,0,0.47,-0.100979173,,
600435,0,0.47,-0.242943783,,
603568,0,0.47,0.043254723,,
603885,0,0.47,0.067945958,,
759,0,0.48,-0.12164379,,
926,0,0.48,-0.187864242,,
600586,0,0.48,-0.186268409,,
46,0,0.49,-0.122377041,,
2454,0,0.49,-0.114242072,,
977,0,0.5,0.154790026,,
2039,0,0.5,-0.067638778,,
2203,0,0.5,0.00756028,,
2321,0,0.5,-0.23321469,,
2460,0,0.5,-0.077656807,,
300339,0,0.5,-0.075535972,,
2690,0,0.51,0.050728869,,
300026,0,0.51,-0.077891661,,
2204,0,0.52,0.016738379,,
2774,0,0.52,-0.255214125,,
300204,0,0.52,-0.153450249,,
300288,0,0.52,-0.211649645,,
300450,0,0.52,-0.087651366,,
600212,0,0.52,-0.270249651,,
603556,0,0.52,-0.199646562,,
2174,0,0.53,-0.145666937,,
2463,0,0.53,-0.065030496,,
300177,0,0.53,-0.008485643,,
300566,0,0.53,-0.101812842,,
600068,0,0.53,-0.163755178,,
600279,0,0.53,-0.121856373,,
600317,0,0.53,-0.108216817,,
600984,0,0.53,-0.089174007,,
601669,0,0.53,-0.133978246,,
603678,0,0.53,-0.018590223,,
2083,0,0.54,-0.187571962,,
300324,0,0.54,0.047670337,,
600495,0,0.54,-0.231661886,,
601016,0,0.54,-0.146579033,,
601377,0,0.54,-0.146866128,,
937,0,0.55,-0.197339282,,
300620,0.34,0.56,-0.023746829,,
2079,0,0.56,-0.02599521,,
2627,0,0.56,-0.007729091,,
300367,0,0.56,-0.086977391,,
600675,0,0.56,-0.160954726,,
600789,0,0.56,0.212464312,,
601113,0,0.56,0.381966704,,
601212,0,0.56,-0.280796219,,
300012,0,0.57,-0.04143748,,
600177,0,0.57,-0.114181186,,
600882,0,0.57,-0.079341411,,
600988,0,0.57,-0.069110824,,
601997,0,0.57,-0.034369719,,
603888,0,0.57,-0.227413087,,
